"formula_id","engineering_purpose","canonical_equation","canonical_function","source_file","required_inputs","required_units","output","output_unit","applicable_HX","real_data_executed","valid_record_count","test_coverage","validation_status","blocker","downstream_use","verification_status","review_note","registry_source_generation"
"F11","HX effectiveness","epsilon=Q/Qmax","calculate_effectiveness","src/calculations/heat_transfer.py","Q;capacity rates;inlet temperatures","mixed","effectiveness_fraction","dimensionless","All HX","False","0","test_batch1_formula_completion","IMPLEMENTED_NOT_EXECUTED","hot-side capacity rate unavailable","HX physics","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F12","Energy-balance closure","(Qhot-Qcold)/max(abs(Qhot),abs(Qcold))","calculate_energy_balance_error","src/validation/hx_physics.py","Qhot;Qcold","kW","energy_closure_fraction","fraction","All HX","False","0","test_batch1_formula_completion","IMPLEMENTED_NOT_EXECUTED","Qhot unavailable","physics validation","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F13","Steady operating mask","valid=data quality AND operating rules","classify_operating_state","src/validation/real_data.py","temperature;flow;quality flags","engineering units","operating_valid_mask","boolean","17 configured HX","True","22416","test_mvp_real_data;test_mvp_coverage_outputs","IMPLEMENTED_AND_VALIDATED","","all calculations","VERIFIED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F14","Configuration-aware mask","valid=operating_valid AND configuration eligible","build_state_aware_performance","pipeline/analyze_configuration_states.py","operating mask;inferred lineup","boolean","configuration_valid_mask","boolean","E101EF and residue group","True","variable","test_configuration_states","IMPLEMENTED_NOT_VALIDATED","no valve or shell-status history","signal review","EXECUTED_NOT_VALIDATED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F15","Empirical high-performance reference","reference_UA=median(UA in provisional window)","calculate_relative_performance","pipeline/explore_empirical_relative_performance.py","UA;window;operating mask","kW/K;timestamp","reference_ua_empirical","kW/K","E101AB;E101CD;E102;E104","True","7029","test_empirical_relative_performance","IMPLEMENTED_AND_EXECUTED","no confirmed clean-state evidence","relative performance","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F16","Operating-adjusted baseline","UAhat=Ridge(flow;LMTD;Tin;SG;time)","operating_model_screening","pipeline/build_mvp_coverage_outputs.py","UA;operating variables","mixed","expected_operating_performance","W/m2-K","15 mapped HX","True","21686","test_mvp_coverage_outputs","IMPLEMENTED_NOT_VALIDATED","uses area-scaled legacy metric and is screening only","operating residual","EXECUTED_NOT_VALIDATED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F17","Confirmed normalized UA","UA_normalized=UA_actual/UA_clean","calculate_fouling_indicators","src/calculations/fouling.py","actual UA;confirmed clean UA","same units","ua_normalized_confirmed","dimensionless","All HX","False","0","test_mvp_engineering_characterization","IMPLEMENTED_NOT_EXECUTED","no confirmed clean baseline","confirmed fouling","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F18","Relative empirical UA","relative_UA=UA_actual/reference_UA","calculate_relative_performance","pipeline/explore_empirical_relative_performance.py","UA;empirical reference","same units","relative_ua_empirical","dimensionless","E101AB;E101CD;E102;E104","True","7029","test_empirical_relative_performance","IMPLEMENTED_AND_EXECUTED","empirical reference is not clean","exploratory condition","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F19","Relative performance loss","loss=1-relative_UA","calculate_relative_performance","pipeline/explore_empirical_relative_performance.py","relative UA","dimensionless","relative_performance_loss","dimensionless","E101AB;E101CD;E102;E104","True","7029","test_empirical_relative_performance","IMPLEMENTED_AND_EXECUTED","not a confirmed fouling index","monitoring","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F20","Apparent fouling resistance","Rf=1/Uactual-1/Uclean","legacy only","src/validation/nb_audit.py","verified U actual;verified U clean","W/m2-K","apparent_fouling_resistance","m2-K/W","All HX","False","0","test_fouling_rate","IMPLEMENTED_NOT_EXECUTED","verified U and confirmed clean U unavailable","fouling","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F21","Fouling or performance rate","robust slope versus time","estimate_fouling_rate","src/calculations/fouling.py","time;relative U or Rf","mixed","performance_change_rate","per day","All HX","False","0","test_fouling_rate","IMPLEMENTED_NOT_EXECUTED","confirmed condition unavailable; sprint uses separate exploratory trend","forecast","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F22","Local recoverable duty","max(Qexpected-Qactual,0)","calculate_single_hx_cit_impact","src/calculations/cit_impact.py","Qactual;clean UA;F;LMTD","mixed","q_recoverable_kw","kW","Single HX","False","0","test_mvp_engineering_characterization","IMPLEMENTED_NOT_EXECUTED","confirmed clean semantics unavailable","local CIT","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F23","Local equivalent CIT","Qrecoverable/(m_dot*Cp)","calculate_single_hx_cit_impact","src/calculations/cit_impact.py","Qrecoverable;m_dot;Cp","kW;kg/s;kJ/kg-K","cit_gain_equivalent_k","K","Single HX","False","0","test_mvp_engineering_characterization","IMPLEMENTED_NOT_EXECUTED","confirmed clean semantics unavailable","local impact","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F24","Split-flow balance","residual=sum(branch flow)-total flow","build_flow_and_e101_state;enriched_flow","pipeline/analyze_configuration_states.py;pipeline/validate_cpht2_mix_and_pilot.py","total and branch flows","m3/h","split_balance_residual","fraction","CPHT1;CPHT2","True","2008","test_configuration_states;test_cpht2_mix_validation","IMPLEMENTED_AND_EXECUTED","branch allocation/configuration inferred","network gate","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F25","Mixing balance","Tmix=sum(m*Cp*T)/sum(m*Cp)","enthalpy_weighted_mix_temperature","src/network/validation.py","branch mass flow;Cp;temperature","kg/s;kJ/kg-K;degC","mixed_temperature_c","degC","CPHT2 branches","True","787","test_cpht2_mix_validation","IMPLEMENTED_AND_EXECUTED","1TI115 regime/configuration uncertainty","mix closure","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F26","Node temperature propagation","Tout_i=model_i(Tin_i;conditions)","sequential_temperature_propagation","src/network/validation.py","node inlet;stage predictors","degC","propagated_node_temperature_c","degC","E103AB to E104 pilot","True","206","test_cpht2_mix_validation;test_critical_correction_batch","IMPLEMENTED_AND_EXECUTED","pilot only;E105AB excluded","pilot counterfactual","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F27","Full-network CIT deficit","CITbase-CITcounterfactual","NONE","NONE","validated topology;all node models;measured CIT","degC","network_cit_deficit_c","degC","Full CPHT","False","0","NONE","NOT_IMPLEMENTED","E105AB and terminal propagation unresolved","network impact","BLOCKED_BY_DATA","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F28","Single-HX pilot endpoint recovery","max(reference_UA*LMTD-Qactual,0)/(m*Cp)","pilot_endpoint_counterfactual","src/network/validation.py","empirical reference;Q;LMTD;m;Cp","mixed","single_hx_endpoint_recovery_c","degC","E104 pilot endpoint","True","1736","test_cpht2_mix_validation","IMPLEMENTED_AND_EXECUTED","endpoint only and not CIT","pilot exploration","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F29","CIT sensitivity","dCIT/dQ or perturbation response","NONE","NONE","validated network counterfactual","mixed","cit_sensitivity","degC per kW","Full CPHT","False","0","NONE","NOT_IMPLEMENTED","network model blocked","network attribution","BLOCKED_BY_DATA","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F30","Compensation ratio","observed CIT gain/local equivalent gain","NONE","NONE","validated local and network gains","dimensionless","compensation_ratio","dimensionless","Full CPHT","False","0","NONE","NOT_IMPLEMENTED","network CIT unavailable","network interpretation","BLOCKED_BY_DATA","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F31","Multi-HX interaction","joint benefit-sum(single benefits)","shapley_attribution","src/network/attribution.py","validated network scenarios","degC","multi_hx_interaction","degC","Full CPHT","False","0","test_network_attribution","IMPLEMENTED_NOT_EXECUTED","validated network unavailable","portfolio impact","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F32","Furnace crude duty","Qfurnace=m*Cp*(COT-CIT)","furnace_duty_kw","pipeline/analyze_f101_consequence.py","m;Cp;CIT;COT","kg/s;kJ/kg-K;degC","furnace_duty_kw","kW","F101","True","1579","test_fast_track_furnace","IMPLEMENTED_AND_EXECUTED","physics estimate only","F101 consequence","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F33","CIT duty penalty","Qpenalty=m*Cp*CIT_deficit","implicit only","NONE","m;Cp;CIT deficit","mixed","cit_duty_penalty_kw","kW","F101","False","0","NONE","NOT_IMPLEMENTED","no validated counterfactual CIT","F101 benefit","BLOCKED_BY_DATA","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F34","Fuel-rate penalty","dFuel=Qpenalty/(efficiency*LHV)","calculate_fuel_gas_penalty","src/calculations/furnace.py","CIT deficit;feed;factor;price","scenario units","fuel_rate_penalty","THB/day","F101","False","0","test_furnace_alerts","IMPLEMENTED_NOT_EXECUTED","approved efficiency LHV and attributable CIT unavailable","economics","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F35","Economic and CO2 conversion","annual saving=daily saving*days*decay-cost;CO2=fuel*factor","calculate_cleaning_economic_benefit","src/economics/benefits.py","fuel penalty;cost;days;emission factor","mixed","economic_and_co2_effect","THB/year;CO2","Portfolio","False","0","NONE","IMPLEMENTED_NOT_EXECUTED","CO2 conversion missing and economics inputs unapproved","decision","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F36","Forecast trend","relative_UA=a+b*time","linear_forecast","pipeline/forecast_empirical_performance.py","recent relative UA;time","dimensionless;day","forecast_value","dimensionless","E101AB;E101CD;E102;E104","True","720","test_fast_track_forecast","IMPLEMENTED_NOT_VALIDATED","linear model loses to persistence for 3 of 4 HX","forecast","EXECUTED_NOT_VALIDATED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F37","Threshold crossing","date=(threshold-a)/b","NONE","NONE","approved threshold;trend","dimensionless;day","threshold_crossing_time","timestamp","Four reference HX","False","0","test_fast_track_forecast","NOT_IMPLEMENTED","no approved relative-performance threshold","action timing","BLOCKED_BY_DATA","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F38","Monitoring priority","score=data+candidates+loss+trend","build_priorities","pipeline/build_fast_track_decision_support.py","coverage;events;loss;trend","mixed","monitoring_priority","score","17 configured HX","True","17","test_fast_track_decision_support","IMPLEMENTED_NOT_VALIDATED","not consequence/economics based and no time validation","monitoring only","EXECUTED_NOT_VALIDATED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F39","Confidence score","rule-based evidence confidence","multiple","NONE","coverage;quality;configuration evidence","mixed","confidence_score","category","17 configured HX","True","17","test_fast_track_decision_support","IMPLEMENTED_NOT_VALIDATED","no single calibrated canonical confidence function","evidence display","EXECUTED_NOT_VALIDATED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
