task,scope,model,baseline_model,candidate_rmse,baseline_rmse,train_records,test_records,validation,selected_status,reason,physical_rule_checks
REFERENCE_PERFORMANCE,E110ABC,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,10.685173431791608,6.03801479288221,767,192,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E111,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,38.63530838705096,39.329651677154835,1199,300,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E112AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,6.492636184496073,28.747380417124543,1156,289,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E113A,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,14.83649010007134,57.602302527548915,1263,316,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
HX_CIT_RELATIONSHIP,E101AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,4.303669292774671,3.730722775125413,1451,363,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E101CD,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.760823858509817,3.7025522240904047,1423,356,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E101EF,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.077968407249691,7.744346599462157,1287,322,CHRONOLOGICAL_80_20,SELECTED_PROVISIONAL,LOWER_CHRONOLOGICAL_HOLDOUT_RMSE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E102,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,4.501156558540673,3.7886785499944633,1360,340,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E103AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.734743127438646,4.709666821900418,843,211,CHRONOLOGICAL_80_20,SELECTED_PROVISIONAL,LOWER_CHRONOLOGICAL_HOLDOUT_RMSE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E104,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,7.611206011332662,4.828821335654854,1388,348,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E105AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.5887449824966757,3.351227836640986,1231,308,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E106AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.24306012739749,3.133788466372898,801,201,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E107AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.66269267746972,3.4298362115233827,1085,272,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E108AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,7.5114814519951585,3.1371848923488006,941,236,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E109AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.306842494698631,3.5241608195022143,1149,288,CHRONOLOGICAL_80_20,SELECTED_PROVISIONAL,LOWER_CHRONOLOGICAL_HOLDOUT_RMSE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E110ABC,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,5.96518075973246,3.474061794930258,767,192,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E111,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.830443634959537,3.7169473488186178,1199,300,CHRONOLOGICAL_80_20,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E112AB,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,3.41045230424838,5.180163949312324,1156,289,CHRONOLOGICAL_80_20,SELECTED_PROVISIONAL,LOWER_CHRONOLOGICAL_HOLDOUT_RMSE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
HX_CIT_RELATIONSHIP,E113A,RIDGE_INTERPRETABLE_SCREENING,PERSISTENCE,2.1514423254965958,3.831829440189592,1263,316,CHRONOLOGICAL_80_20,REJECTED,TARGET_LEAKAGE:CIT_DERIVED_FEATURE_DEPENDENCE,ASSOCIATION_ONLY;NO_CLEANING_BENEFIT
CONDITION_TREND,E101AB,LINEAR_RELATIVE_UA_TREND,PERSISTENCE,0.0121178536014583,0.0040931825946601,144,36,CHRONOLOGICAL_HOLDOUT,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,EMPIRICAL_REFERENCE;NOT_CONFIRMED_FOULING
CONDITION_TREND,E101CD,LINEAR_RELATIVE_UA_TREND,PERSISTENCE,0.0115894199616951,0.0130891461615184,144,36,CHRONOLOGICAL_HOLDOUT,SELECTED_PROVISIONAL,LOWER_CHRONOLOGICAL_HOLDOUT_RMSE,EMPIRICAL_REFERENCE;NOT_CONFIRMED_FOULING
CONDITION_TREND,E102,LINEAR_RELATIVE_UA_TREND,PERSISTENCE,0.0109654751382482,0.0035401443892033,144,36,CHRONOLOGICAL_HOLDOUT,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,EMPIRICAL_REFERENCE;NOT_CONFIRMED_FOULING
CONDITION_TREND,E104,LINEAR_RELATIVE_UA_TREND,PERSISTENCE,0.0073090629689131,0.0045536837807219,144,36,CHRONOLOGICAL_HOLDOUT,REJECTED,DID_NOT_BEAT_SIMPLE_BASELINE,EMPIRICAL_REFERENCE;NOT_CONFIRMED_FOULING
